Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
INDFMPIR,A ratio of family income to poverty guidelines.,LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
INDHHIN2,Total household income (reported as a range value in dollars),LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
LATVPSU,Variance unit: PSU variable for variance estimation,LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
LATVSTRA,Variance unit: stratum variable for variance estimation,LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
RIAGENDR,Gender of the participant.,LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
RIDAGEEX,"Age in years of the participant at the time of examination. Individuals 
aged 959 months and older are topcoded at 959 months.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
RIDAGEMN,"Age in months of the participant at the time of screening. Individuals aged 
959 months and older are topcoded at 959 months.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
RIDAGEYR,"Age in years of the participant at the time of screening. Individuals 80 
and over are topcoded at 80 years of age.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
RIDEXPRG,"Pregnancy status for females between 20 and 44 years of age at the time of 
MEC exam.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
RIDRETH1,Recode of reported race and Hispanic origin information,LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
RIDSTATR,Interview and examination status of the participant.,LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
SEQN,Respondent sequence number.,LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLAF8YR,"Subsample 8-year fasting weight for participants aged 12 years and older 
who were examined in the morning sessions in Los Angeles, California. A 
missing value indicates the participant was not included in the fasting 
subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLAI8YR,"Full sample 8-year interview weight for participants in Los Angeles, 
California.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLAM8YR,"Full sample 8-year MEC exam weight for participants in Los Angeles, 
California.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R01,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 01 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R02,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 02 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R03,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 03 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R04,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 04 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R05,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 05 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R06,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 06 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R07,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 07 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R08,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 08 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R09,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 09 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R10,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 10 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R11,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 11 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R12,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 12 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R13,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 13 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R14,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 14 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R15,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 15 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R16,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 16 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R17,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 17 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R18,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 18 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R19,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 19 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R20,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 20 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R21,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 21 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R22,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 22 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R23,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 23 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R24,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 24 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R25,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 25 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R26,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 26 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R27,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 27 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R28,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 28 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R29,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 29 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R30,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 30 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R31,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 31 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R32,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 32 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R33,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 33 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R34,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 34 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R35,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 35 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R36,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 36 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R37,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 37 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R38,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 38 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R39,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 39 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R40,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 40 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R41,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 41 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R42,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 42 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R43,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 43 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R44,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 44 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R45,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 45 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R46,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 46 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R47,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 47 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLF8R48,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's 
BRR) weight 48 for fasting subsample in Los Angeles, California. A missing 
value indicates the participant was not included in the fasting subsample.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLI8R01,"8-year interview weight: Fay's-adjusted balanced repeated replication 
(Fay's BRR) weight 01 for participants in Los Angeles, California.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLI8R02,"8-year interview weight: Fay's-adjusted balanced repeated replication 
(Fay's BRR) weight 02 for participants in Los Angeles, California.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLI8R03,"8-year interview weight: Fay's-adjusted balanced repeated replication 
(Fay's BRR) weight 03 for participants in Los Angeles, California.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLI8R04,"8-year interview weight: Fay's-adjusted balanced repeated replication 
(Fay's BRR) weight 04 for participants in Los Angeles, California.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLI8R05,"8-year interview weight: Fay's-adjusted balanced repeated replication 
(Fay's BRR) weight 05 for participants in Los Angeles, California.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLI8R06,"8-year interview weight: Fay's-adjusted balanced repeated replication 
(Fay's BRR) weight 06 for participants in Los Angeles, California.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLI8R07,"8-year interview weight: Fay's-adjusted balanced repeated replication 
(Fay's BRR) weight 07 for participants in Los Angeles, California.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLI8R08,"8-year interview weight: Fay's-adjusted balanced repeated replication 
(Fay's BRR) weight 08 for participants in Los Angeles, California.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLI8R09,"8-year interview weight: Fay's-adjusted balanced repeated replication 
(Fay's BRR) weight 09 for participants in Los Angeles, California.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLI8R10,"8-year interview weight: Fay's-adjusted balanced repeated replication 
(Fay's BRR) weight 10 for participants in Los Angeles, California.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLI8R11,"8-year interview weight: Fay's-adjusted balanced repeated replication 
(Fay's BRR) weight 11 for participants in Los Angeles, California.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
WTLI8R12,"8-year interview weight: Fay's-adjusted balanced repeated replication 
(Fay's BRR) weight 12 for participants in Los Angeles, California.",LDEMO_EH,"Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,Demographics,RDC Only
